CODIGO ARTICULO,CLI,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,4298,,,5,5,5,5,5,,,5
,4358,8,10,20,20,,,,,,
,5250,,,,,,,,6,,
,5306,,,6,,10,,8,,10,
,5658,4,6,,4,4,10,4,,,
,6521,,35,21,20,,59,50,40,50,100
,6585,,,,,,4,10,,10,
,7626,,,6,,,,,,,
,7761,,,,,20,,,15,20,20
,8225,,,2,,,,,,,
,9424,,,,,,,,,,5
ARTICULO652,2018,,,,,,,,,6,
,3058,,,,3,,,3,,,
ARTICULO654,7949,,,,4,,,,,,
ARTICULO655,822,32,36,20,20,40,28,16,,,
ARTICULO656,314,,,,1,1,,,,1,
ARTICULO657,1185,2,,3,,,,,,,
ARTICULO658,7812,,,,,,5,,,,
ARTICULO659,3205,,,,2,1,,,,2,
ARTICULO660,2018,,,7,,14,,,,,
,2206,,,,,,2,2,,,
,3058,,,,,,,0,,,
,3205,,,,2,,,,,,2
,4154,,,,2,,,,,,
,9022,,,,,,45,75,60,30,
ARTICULO666,3481,,10,8,10,,,,,,
,9022,,,,,,,,8,,
ARTICULO668,2236,,,,,8,,,,,
,9424,,,,,,,,,,10
ARTICULO670,6826,2,,,,,,,,,
ARTICULO671,7634,26,,,7,3,,6,,,
ARTICULO672,4654,,,,,,,,100,,
,8104,,,,,,200,,,,
ARTICULO674,2716,,,,,,,10,36,10,22
ARTICULO675,5295,,5,,,,,,,,
ARTICULO676,4154,,,,2,,,,,,
ARTICULO677,265,,,3,,,,,,,
ARTICULO678,8886,,,,,25,,,,,
ARTICULO679,3669,,,,,,,,1,,
